Location,Type,Category,Description,Price,Date,Rooms,Surface
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
El Aouina,Bureaux & Commer,Surfaces,Local commercial de 30m2,2 500,19/12/2024,N/A,30 m²
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2 200,19/12/2024,3,N/A
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2 100,19/12/2024,3,200 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé,2 000,19/12/2024,3,N/A
Sidi Bousaid,Location,Maisons,Villa avec piscine à sid,7 500,19/12/2024,N/A,N/A
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,N/A
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130 m²
Kalaa El Kebira,Terrain,Terrain agr,Terrain agricole 800m à,480 000,19/12/2024,N/A,800 m²
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,N/A
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,N/A
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120 m²
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
El Aouina,Bureaux & Commer,Surfaces,Local commercial de 30m2,2 500,19/12/2024,N/A,30 m²
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2 200,19/12/2024,3,N/A
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2 100,19/12/2024,3,200 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé,2 000,19/12/2024,3,N/A
Ain Zaghouan,Vente,App. 4 pièc,Appt s3 de 175m2 à ain zaghou,650 000,19/12/2024,3,175 m²
Marsa Ennassim,Location,App. 4 pièc,Appartement s3 avec jard,3 700,19/12/2024,3,200 m²
El Aouina,Location,App. 2 pièc,Propriétaire l s2 meublé,1 250,19/12/2024,1,104 m²
La Soukra,Vente,Maisons,Villa avec une piscine à,1 230 000,19/12/2024,N/A,253 m²
Cite Ennasr 2,Location,App. 3 pièc,S2 meublé très haut stan,2 000,19/12/2024,2,N/A
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1 000,19/12/2024,1,68 m²
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70 m²
La Soukra,Location,Surfaces,Local de 100m rue du par,3 400,19/12/2024,N/A,100 m²
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
El Menzah 5,Bureaux & Commer,Bureau,Bureau 2 pieces hst,950,19/12/2024,N/A,35 m²
Gammart,Location,Maisons,Villa avec piscine à gam,6 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Duplex,Triplex s4 avec piscine,4 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 avec piscine a,12 000,19/12/2024,5,N/A
Gammart,Location,Maisons,Villa s4 avec jardin a g,5 000,19/12/2024,4,N/A
Hammamet,Vente,Maisons,Av villa 700m avec pisci,580 000,19/12/2024,N/A,N/A
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,6 500,19/12/2024,N/A,N/A
Le Bardo,Bureaux & Commer,Bureau,Bureau s plus 3 à be,1 200,19/12/2024,N/A,80 m²
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,7 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa avec jardin à cart,5 500,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,6 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa hall,1 200,19/12/2024,N/A,110 m²
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,8 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa s plu,1 100,19/12/2024,N/A,90 m²
Ariana,Location,Maisons,Etage de villa hall,1 200,19/12/2024,N/A,110 m²
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,8 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa s plu,1 100,19/12/2024,N/A,90 m²
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80 m²
Carthage,Location,Maisons,Villa avec piscine à car,12 000,19/12/2024,N/A,N/A
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1 100,19/12/2024,2,68 m²
Sidi Bousaid,Location,Maisons,Villa avec piscine à sid,7 500,19/12/2024,N/A,N/A
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,N/A
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130 m²
Kalaa El Kebira,Terrain,Terrain agr,Terrain agricole 800m à,480 000,19/12/2024,N/A,800 m²
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,N/A
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,N/A
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120 m²
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
El Menzah 5,Bureaux & Commer,Bureau,Bureau 2 pieces hst,950,19/12/2024,N/A,35 m²
Gammart,Location,Maisons,Villa avec piscine à gam,6 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Duplex,Triplex s4 avec piscine,4 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 avec piscine a,12 000,19/12/2024,5,N/A
Gammart,Location,Maisons,Villa s4 avec jardin a g,5 000,19/12/2024,4,N/A
Hammamet,Vente,Maisons,Av villa 700m avec pisci,580 000,19/12/2024,N/A,N/A
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,6 500,19/12/2024,N/A,N/A
Le Bardo,Bureaux & Commer,Bureau,Bureau s plus 3 à be,1 200,19/12/2024,N/A,80 m²
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,7 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa avec jardin à cart,5 500,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,6 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa hall,1 200,19/12/2024,N/A,110 m²
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,8 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa s plu,1 100,19/12/2024,N/A,90 m²
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80 m²
Carthage,Location,Maisons,Villa avec piscine à car,12 000,19/12/2024,N/A,N/A
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1 100,19/12/2024,2,68 m²
Sidi Bousaid,Location,Maisons,Villa avec piscine à sid,7 500,19/12/2024,N/A,N/A
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,N/A
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130 m²
Kalaa El Kebira,Terrain,Terrain agr,Terrain agricole 800m à,480 000,19/12/2024,N/A,800 m²
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,N/A
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,N/A
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120 m²
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
El Aouina,Bureaux & Commer,Surfaces,Local commercial de 30m2,2 500,19/12/2024,N/A,30 m²
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2 200,19/12/2024,3,N/A
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2 100,19/12/2024,3,200 m²
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
El Menzah 5,Bureaux & Commer,Bureau,Bureau 2 pieces hst,950,19/12/2024,N/A,35 m²
Gammart,Location,Maisons,Villa avec piscine à gam,6 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Maisons,Villa s3 avec piscine a,6 500,19/12/2024,3,N/A
Gammart,Location,Duplex,Triplex s4 avec piscine,4 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 avec piscine a,12 000,19/12/2024,5,N/A
Gammart,Location,Maisons,Villa s4 avec jardin a g,5 000,19/12/2024,4,N/A
Hammamet,Vente,Maisons,Av villa 700m avec pisci,580 000,19/12/2024,N/A,N/A
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,6 500,19/12/2024,N/A,N/A
Le Bardo,Bureaux & Commer,Bureau,Bureau s plus 3 à be,1 200,19/12/2024,N/A,80 m²
Marsa Ennassim,Location,Maisons,Villa avec piscine à la,7 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa avec jardin à cart,5 500,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,6 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa hall,1 200,19/12/2024,N/A,110 m²
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,8 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa s plu,1 100,19/12/2024,N/A,90 m²
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80 m²
Carthage,Location,Maisons,Villa avec piscine à car,12 000,19/12/2024,N/A,N/A
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1 100,19/12/2024,2,68 m²
Sidi Bousaid,Location,Maisons,Villa avec piscine à sid,7 500,19/12/2024,N/A,N/A
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,N/A
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130 m²
Kalaa El Kebira,Terrain,Terrain agr,Terrain agricole 800m à,480 000,19/12/2024,N/A,800 m²
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,N/A
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,N/A
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120 m²
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
El Aouina,Bureaux & Commer,Surfaces,Local commercial de 30m2,2 500,19/12/2024,N/A,30 m²
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2 200,19/12/2024,3,N/A
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2 100,19/12/2024,3,200 m²
Hammamet,Vente,Maisons,Av villa de 1000m avec p,650 000,19/12/2024,N/A,1 000 m²
Berge Du Lac,Location,Maisons,Villa avec ascenseur  la,10 000,19/12/2024,N/A,450 m²
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3 000,19/12/2024,3,300 m²
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3 500,19/12/2024,2,N/A
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5 000,19/12/2024,1,N/A
Marsa Ennassim,Location,App. 3 pièc,Rez de chaussee avec pis,5 800,19/12/2024,2,N/A
El Menzah 7,Location,App. 5 pièc,Spacieux appt s3 à menza,1 349,19/12/2024,4,150 m²
Gammart,Location,Maisons,Villa s4 avec piscine a,6 500,19/12/2024,4,N/A
Cite El Ghazala,Location,Maisons,Cité la gazelle joli eta,1 150,19/12/2024,N/A,150 m²
Cite Ennasr 2,Location,App. 2 pièc,Coquet appt s1 à cité en,900,19/12/2024,1,70 m²
Carthage,Location,Maisons,Villa s4 avec piscine a,7 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 carthage,5 500,19/12/2024,5,400 m²
Jardins de Cart,Location,Maisons,Villa jumelée avec jardi,4 500,19/12/2024,N/A,400 m²
Gammart,Location,Maisons,Villa marina gammarth,7 000,19/12/2024,N/A,400 m²
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1 000,19/12/2024,1,68 m²
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70 m²
La Soukra,Location,Surfaces,Local de 100m rue du par,3 400,19/12/2024,N/A,100 m²
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
El Menzah 5,Bureaux & Commer,Bureau,Bureau 2 pieces hst,950,19/12/2024,N/A,35 m²
Gammart,Location,Maisons,Villa avec piscine à gam,6 000,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa hall,1 200,19/12/2024,N/A,110 m²
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,8 500,19/12/2024,N/A,N/A
Ariana,Location,Maisons,Etage de villa s plu,1 100,19/12/2024,N/A,90 m²
Marsa Safsaf,Location,Maisons,Villa avec vue dégagée à,8 000,19/12/2024,N/A,N/A
El Aouina,Location,App. 3 pièc,S plus deux côté downtow,1 000,19/12/2024,2,110 m²
Gammart,Location,Maisons,Villa avec piscine à gam,7 500,19/12/2024,N/A,N/A
Cite Afh,Location,App. 2 pièc,Charmant appartement,850,19/12/2024,1,80 m²
Carthage,Location,Maisons,Villa avec piscine à car,12 000,19/12/2024,N/A,N/A
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1 100,19/12/2024,2,68 m²
Sidi Bousaid,Location,Maisons,Villa avec piscine à sid,7 500,19/12/2024,N/A,N/A
Ariana,Location,App. 2 pièc,Studio bien meuble 2pieces,900,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1 500,19/12/2024,1,N/A
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2 500,19/12/2024,2,130 m²
Kalaa El Kebira,Terrain,Terrain agr,Terrain agricole 800m à,480 000,19/12/2024,N/A,800 m²
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3 500,19/12/2024,3,N/A
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2 800,19/12/2024,3,N/A
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297 000,19/12/2024,2,120 m²
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4 500,19/12/2024,3,400 m²
Chatt Meriem,Terrain,Terrain agr,Lot 23900m derriére loti,1 195 000,19/12/2024,N/A,23 900 m²
El Menzah 1,Bureaux & Commer,Bureau,Grand bureau 7 pièces,4 000,19/12/2024,N/A,N/A
Carthage,Location,Maisons,Villa a carthage 2,6 500,19/12/2024,N/A,600 m²
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2 300,19/12/2024,3,N/A
Cite Ennasr 2,Bureaux & Commer,Bureau,Cabinet médical 2 pièces,1 300,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa neuve haut standin,4 600,19/12/2024,N/A,400 m²
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2 400,19/12/2024,3,N/A
Hammamet,Vente,Maisons,Av villa de 1000m avec p,650 000,19/12/2024,N/A,1 000 m²
Berge Du Lac,Location,Maisons,Villa avec ascenseur  la,10 000,19/12/2024,N/A,450 m²
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3 000,19/12/2024,3,300 m²
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3 500,19/12/2024,2,N/A
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5 000,19/12/2024,1,N/A
Marsa Ennassim,Location,App. 3 pièc,Rez de chaussee avec pis,5 800,19/12/2024,2,N/A
El Menzah 7,Location,App. 5 pièc,Spacieux appt s3 à menza,1 349,19/12/2024,4,150 m²
Gammart,Location,Maisons,Villa s4 avec piscine a,6 500,19/12/2024,4,N/A
Cite El Ghazala,Location,Maisons,Cité la gazelle joli eta,1 150,19/12/2024,N/A,150 m²
Cite Ennasr 2,Location,App. 2 pièc,Coquet appt s1 à cité en,900,19/12/2024,1,70 m²
Carthage,Location,Maisons,Villa s4 avec piscine a,7 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 carthage,5 500,19/12/2024,5,400 m²
Jardins de Cart,Location,Maisons,Villa jumelée avec jardi,4 500,19/12/2024,N/A,400 m²
Gammart,Location,Maisons,Villa marina gammarth,7 000,19/12/2024,N/A,400 m²
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1 000,19/12/2024,1,68 m²
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70 m²
La Soukra,Location,Surfaces,Local de 100m rue du par,3 400,19/12/2024,N/A,100 m²
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
El Menzah 5,Bureaux & Commer,Bureau,Bureau 2 pieces hst,950,19/12/2024,N/A,35 m²
Gammart,Location,Maisons,Villa avec piscine à gam,6 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,App. 2 pièc,Etage de villa s1 meubl,900,19/12/2024,1,N/A
Hammamet,Vente,Maisons,Av villa de 1000m avec p,650 000,19/12/2024,N/A,1 000 m²
Berge Du Lac,Location,Maisons,Villa avec ascenseur  la,10 000,19/12/2024,N/A,450 m²
Cite Du Stade,Location,App. 4 pièc,Appartement haut standin,3 000,19/12/2024,3,300 m²
Marsa Safsaf,Location,App. 3 pièc,Appartement avec balcon,3 500,19/12/2024,2,N/A
Gammart,Location,App. 2 pièc,Appart avec piscine à ga,5 000,19/12/2024,1,N/A
Marsa Ennassim,Location,App. 3 pièc,Rez de chaussee avec pis,5 800,19/12/2024,2,N/A
El Menzah 7,Location,App. 5 pièc,Spacieux appt s3 à menza,1 349,19/12/2024,4,150 m²
Gammart,Location,Maisons,Villa s4 avec piscine a,6 500,19/12/2024,4,N/A
Cite El Ghazala,Location,Maisons,Cité la gazelle joli eta,1 150,19/12/2024,N/A,150 m²
Cite Ennasr 2,Location,App. 2 pièc,Coquet appt s1 à cité en,900,19/12/2024,1,70 m²
Carthage,Location,Maisons,Villa s4 avec piscine a,7 500,19/12/2024,4,N/A
Carthage,Location,Maisons,Villa s5 carthage,5 500,19/12/2024,5,400 m²
Jardins de Cart,Location,Maisons,Villa jumelée avec jardi,4 500,19/12/2024,N/A,400 m²
Gammart,Location,Maisons,Villa marina gammarth,7 000,19/12/2024,N/A,400 m²
El Menzah 9,Location,App. 2 pièc,Un appart s 1 haut stand,1 000,19/12/2024,1,68 m²
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 cité nasr non,900,19/12/2024,1,70 m²
La Soukra,Location,Surfaces,Local de 100m rue du par,3 400,19/12/2024,N/A,100 m²
La Soukra,Bureaux & Commer,Surfaces,Local 100m rue du parc s,3 400,19/12/2024,N/A,100 m²
Borj Louzir,Vente,App. 2 pièc,Appartement s2 borj louz,220 000,19/12/2024,1,105 m²
Carthage,Location,Maisons,Villa  s3 avec jardin a,5 000,19/12/2024,3,N/A
Marsa Safsaf,Location,Maisons,Villa avec jardin à la m,8 000,19/12/2024,N/A,N/A
Marsa Safsaf,Location,Maisons,Villa avec vue sur mer à,12 000,19/12/2024,N/A,N/A
Gammart,Location,Maisons,Villa avec piscine à gam,5 500,19/12/2024,N/A,N/A
