Location,Type,Category,Description,Price,Date,Rooms,Surface,PC1,PC2,PC3
Bou Mhel,Location,App. 3 pièc,Appartement s3 hst à boumhel,1300,19/12/2024,2,130,-0.051017367973818124,-0.17591734570108206,0.133037279951599
Ariana,Location,Maisons,Villa plein pied s3 avec,2000,19/12/2024,3,160,0.5600879715485154,-0.3300055237895377,0.6618169565083587
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 70d,1700,19/12/2024,1,70,-0.7225476889050194,0.019682117376791614,-0.3317122743300855
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé par nuitée 89dt,1700,19/12/2024,1,70,-0.7225476889050194,0.019682117376791614,-0.3317122743300855
El Menzah 9,Location,App. 2 pièc,S1 de haut standing meub,1400,19/12/2024,1,73,-0.7166676246322188,0.015152520526601822,-0.33803907262545385
El Menzah 6,Location vacance,App. 2 pièc,Studio meublé  60dt la n,1200,19/12/2024,1,20,-0.8252507931419099,0.08421973541400408,-0.22405944330149719
Cite Ennasr 1,Location vacance,App. 2 pièc,S0 et s1 meublé pour cou,1800,19/12/2024,1,80,-0.7020070680576413,0.006774593769349137,-0.3532428405358031
La Mannouba,Location,App. 1 pièc,Appt s plus 1 résidence aicha,700,19/12/2024,0,65,-1.2827716796112625,0.14040592016671263,-0.9140977471238945
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1900,19/12/2024,1,70,-0.7223767058859814,0.0200805051149474,-0.3317924995218109
El Aouina,Location vacance,App. 2 pièc,S1 meublé hay el waht po,2200,19/12/2024,1,70,-0.7221202313574242,0.020678086722181122,-0.33191283730939897
Cite Ennasr 2,Location vacance,App. 2 pièc,Jolie s1 meublé hst par,2100,19/12/2024,1,70,-0.7222057228669433,0.020478892853103215,-0.3318727247135363
Cite Ennasr 2,Location,App. 2 pièc,S1 neuf haut standing,950,19/12/2024,1,73,-0.7170523364250545,0.014256148115751268,-0.3378585659440717
Bou Mhel,Location,Maisons,Rdc s3 a boumhal bel air,950,19/12/2024,3,110,0.4569146640092704,-0.2665634720322537,0.7696904068141919
Cite Ennasr 2,Vente,App. 3 pièc,S2 à nasr 2,440000,19/12/2024,2,120,0.30357875494834724,0.7110528754201745,-0.021446224488216523
El Menzah 9,Location,App. 2 pièc,S1 haut standing neuf,950,19/12/2024,1,73,-0.7170523364250545,0.014256148115751268,-0.3378585659440717
Riadh Landlous,Location vacance,App. 3 pièc,S2 meublé  par nuitée 12,2500,19/12/2024,2,117,-0.07658313799880641,-0.15648828655267077,0.16049351849405805
Cite Ennasr 1,Location vacance,App. 2 pièc,S1 meublé haut standing,1700,19/12/2024,1,65,-0.732775253573949,0.026235476115051812,-0.320967047525158
Ezzahra,Location vacance,App. 3 pièc,Apprt s2 hst meublé par,2500,19/12/2024,2,117,-0.07658313799880641,-0.15648828655267077,0.16049351849405805
Chotrana 1,Location,Maisons,Villa en s4 avec pis,3300,19/12/2024,4,350,1.4989883295337079,-0.6926060182878522,0.8465086997322628
El Menzah 9,Location,App. 3 pièc,Magnifique appartement s,1350,19/12/2024,2,121,-0.06938423862313174,-0.16402170303767477,0.15235863190253712
Gammart,Location,Maisons,Triplex s4 avec piscine,7500,19/12/2024,4,225,1.2468898562102695,-0.5204059073300756,1.1134546408292163
Marsa Erriadh,Location,App. 4 pièc,Appart s3 samar à la,1250,19/12/2024,3,130,0.49808139721354555,-0.29217932537806074,0.7265891618068938
Gammart,Location,Duplex,Duplex meuble s3 a gamma,4500,19/12/2024,3,160,0.5622252592864914,-0.3250256770625903,0.6608141416117912
Hammam Lif,Location,App. 3 pièc,Appart s2 hts à h li,1100,19/12/2024,2,160,0.010177037020720904,-0.21563588586879903,0.06864614431375957
Chatt Meriem,Location vacance,Maisons,Rez de jardin s1 de char,300,19/12/2024,1,75,-0.7135170053693565,0.010340044471440853,-0.3418959247929351
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1200,19/12/2024,2,125,-0.0613304241522667,-0.16956318083189978,0.1438226193523892
Riadh Landlous,Location vacance,App. 1 pièc,A 10 min de de l'aéropor,1500,19/12/2024,0,51,-1.3107249286081128,0.16034887558646432,-0.8843320128369991
Chatt Meriem,Location vacance,Maisons,Etage s3 de pittoresque,140,19/12/2024,3,150,0.5380427001336022,-0.3206038122778662,0.6840535044012599
Ezzahra,Location,App. 3 pièc,Appart s2 neuf a ezz,850,19/12/2024,2,98,-0.11685849364780272,-0.13487222218706735,0.20198723818451703
Marsa Safsaf,Vente,App. 3 pièc,Réf 89v bel appartement s 2 r,1500000,19/12/2024,2,130,1.2302438851880204,2.8094011701693673,-0.46813019424270497
Riadh Landlous,Location,App. 1 pièc,A 10 min de de l'aéropor,1000,19/12/2024,0,51,-1.3111523861557082,0.15935290624107484,-0.8841314498576857
Ezzahra,Location,App. 2 pièc,Studio meublé à ezza,500,19/12/2024,1,40,-0.7849389750328251,0.05661194337741803,-0.2667595623501682
Ezzahra,Location,App. 3 pièc,Maison s2 meublé à e,131,19/12/2024,2,150,-0.011106505044377622,-0.20445935698364345,0.0905252889775241
Ezzahra,Location,App. 2 pièc,Studio s1 meublé à e,131,19/12/2024,1,55,-0.7545717446961617,0.03621684178573997,-0.29884722728621727
Berge Du Lac,Location,App. 2 pièc,Suite à lac 2 coquette appart,1900,19/12/2024,1,60,-0.7428318352238404,0.033187222591467794,-0.3103020459119559
La Soukra,Vente,App. 2 pièc,S plus 1 soukra tel 5825,225000,19/12/2024,1,58,-0.556191303354436,0.4802100879995612,-0.3954951565596715
Marsa Ennassim,Location,App. 2 pièc,Coquette appartement s1 meubl,1400,19/12/2024,1,60,-0.7432592927714357,0.03219125324607834,-0.3101014829326424
El Aouina,Location,App. 4 pièc,S plus 3 jardins el aoui,1350,19/12/2024,3,130,0.49816688872306464,-0.2919801315089829,0.7265490492110311
Ezzahra,Location,App. 3 pièc,Appart s2 neuf à ezz,1200,19/12/2024,2,120,-0.0715579888211962,-0.16300982209363957,0.15456784615731667
Nouvelle Medina,Vente,App. 2 pièc,Appartement s2 près show,180000,19/12/2024,1,100,-0.5087509394189956,0.3355246335131217,-0.46770439358284677
Ain Zaghouan,Vente,App. 3 pièc,S plus deux résidence ja,253000,19/12/2024,2,69,0.039388472524663085,0.4054045993747603,0.16316564318529514
El Aouina,Location,App. 2 pièc,S plus un luxueux richem,1600,19/12/2024,1,60,-0.7430883097523975,0.03258964098423413,-0.3101817081243678
Marsa Ennassim,Location,App. 4 pièc,Etage de villa s3 indépendant,2000,19/12/2024,3,180,0.6009982302242335,-0.3562189587425785,0.6188360492886488
Ain Zaghouan,Location,App. 2 pièc,Apartes meublé et vide,150,19/12/2024,1,73,-0.7177362685012069,0.012662597163128094,-0.3375376651771701
Ain Zaghouan,Vente,App. 2 pièc,S2  ain zaghouane nouvel,415000,19/12/2024,1,140,-0.22602537469781764,0.7512033559400993,-0.6479308082996146
El Aouina,Location,App. 2 pièc,Résidence zayatine appartemen,850,19/12/2024,1,60,-0.7437294960737904,0.03109568696614991,-0.3098808636553976
Cite El Khalil,Location,App. 1 pièc,Appartement s3 meubl  la,2500,19/12/2024,0,130,-1.1482744917438361,0.05879774621273227,-1.0545077223134804
Le Bardo,Location,App. 1 pièc,Meublé pour une seule personn,550,19/12/2024,0,55,-1.3033550462134003,0.15321384683961617,-0.8925471246202454
Korba Hached,Location,App. 3 pièc,Local commercial,7800,19/12/2024,2,135,-0.03523285518615107,-0.1695231029492789,0.11968473441559596
Le Bardo,Location,App. 2 pièc,Pour  filles ou petite famill,550,19/12/2024,1,88,-0.6867116084563422,-0.006200703575340872,-0.3699337959754033
Riadh Landlous,Location,App. 2 pièc,Spacieux s0 et s1 pour p,650,19/12/2024,1,70,-0.7234453497549693,0.0175905817514737,-0.33129109207352714
El Manar 1,Location,App. 3 pièc,Mignon appartement meubl,1500,19/12/2024,2,121,-0.0692560013588532,-0.16372291223405794,0.15229846300874308
La Mannouba,Location,App. 2 pièc,S plus 1 hst a la ma,750,19/12/2024,1,65,-0.7335874229143798,0.024343134358811806,-0.32058597786446236
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 cité nas,950,19/12/2024,1,70,-0.7231888752264123,0.018188163358707394,-0.3314114298611152
Cite Du Stade,Location,App. 4 pièc,Deux merveilleux apparte,1400,19/12/2024,3,160,0.5595750224914012,-0.33120068700400507,0.662057632083535
El Menzah 8,Location,App. 4 pièc,S plus 3 a el manzah,1300,19/12/2024,3,300,0.8458613417119086,-0.5148939255443684,0.36123139414142824
El Menzah 8,Location,App. 4 pièc,Un appart s 3 avec deux,1300,19/12/2024,3,310,0.8663164710497677,-0.5280006430208888,0.3397409405315733
Cite Ennasr 2,Location,App. 2 pièc,Appart s 1 meublé  à cit,1150,19/12/2024,1,70,-0.7230178922073741,0.01858655109686318,-0.3314916550528406
Cite Ennasr 2,Location,App. 2 pièc,Studio à ennasr 2,750,19/12/2024,1,60,-0.7438149875833093,0.030896493097072004,-0.30984075105953485
El Menzah 9,Vente,App. 3 pièc,S2 400 md menzah 9,400000,19/12/2024,2,129,0.28779176754480473,0.6195792820601473,-0.02474259439200549
El Kantaoui,Location,App. 3 pièc,Appartement 3 pièces,1250,19/12/2024,2,160,0.010305274284999465,-0.21533709506518214,0.0685859754199655
Cite Ennasr 1,Location,App. 4 pièc,Des appartements richement me,150,19/12/2024,3,160,0.5585063786224133,-0.3336906103674788,0.6625590395318187
Borj El Baccouc,Location,Maisons,Etage de villa s4 1300d,1300,19/12/2024,4,170,1.1290861712618645,-0.4606689810920432,1.234139116626906
Marsa Erriadh,Location vacance,App. 2 pièc,Super luxueux splus1pour,350,19/12/2024,1,80,-0.7032466949456674,0.0038862826677196222,-0.35266120789579397
Berge Du Lac,Location,App. 4 pièc,Bureau hall et 4 pièces,2500,19/12/2024,3,180,0.6014256877718287,-0.355222989397189,0.6186354863093353
