Location,Type,Category,Description,Price,Date,Rooms,Surface
Ain Zaghouan,Location,App. 2 pièc,S plus 1 richement meulé,1 100,19/12/2024,1,60.0
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1.0
Berge Du Lac,Location,Maisons,Villa s5 avec piscine au,8 000,19/12/2024,5,550.0
Marsa Ennassim,Location,Maisons,Villa s4 à la marsa mvl1,5 000,19/12/2024,4,400.0
Sidi Daoud,Location,Maisons,Villa s4 avec piscine à,4 000,19/12/2024,4,1.0
Carthage,Location,Maisons,Villa s3 avec piscine à,8 500,19/12/2024,3,1.0
Ain Zaghouan,Location,App. 2 pièc,Un appartement s2 vide à,1 200,19/12/2024,1,1.0
Borj Cedria,Location,App. 3 pièc,Appartement meublé borj,1 500,19/12/2024,2,100.0
Bizerte,Vente,App. 3 pièc,Villa villa,700 000,19/12/2024,2,600.0
Bizerte,Location,App. 1 pièc,Local commercial,3 000,19/12/2024,0,178.3842105263158
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 meublé,1 500,19/12/2024,0,1.0
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270 000,19/12/2024,1,290.0
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1.0
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,73.062
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,73.062
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55.0
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,225.45569620253164
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50.0
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,73.062
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,121.43717728055077
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,225.45569620253164
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110.0
El Aouina,Vente,App. 3 pièc,S plus 2 wahat tel 58258,250 000,19/12/2024,2,80.0
El Aouina,Location,App. 3 pièc,S plus 2 lac 2 tel 58258,2 000,19/12/2024,2,120.0
El Aouina,Vente,App. 4 pièc,S plus 3 el aouina tel 5,320 000,19/12/2024,3,132.0
Jardins de Cart,Location,App. 2 pièc,Un appartement s2 meublé,2 800,19/12/2024,1,1.0
Ain Zaghouan,Location,App. 4 pièc,Bel appartement s3 aux ain za,1 500,19/12/2024,3,140.0
El Aouina,Location,App. 2 pièc,Coquet appartement s1 vide au,850,19/12/2024,1,60.0
Marsa Safsaf,Location,App. 3 pièc,Etage s2 indépendante vue sur,3 500,19/12/2024,2,100.0
Le Kram,Location,App. 2 pièc,Suite à cité office apparteme,850,19/12/2024,1,65.0
El Aouina,Location,App. 3 pièc,Aux aouina bel appartement s2,1 100,19/12/2024,2,90.0
Ain Zaghouan,Location,App. 3 pièc,S plus deux bien orienté,1 000,19/12/2024,2,90.0
Ain Zaghouan,Location,App. 4 pièc,Aux ain zaghouan bel appartem,1 500,19/12/2024,3,140.0
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 vide z,1 800,19/12/2024,0,1.0
El Menzah 9,Location,App. 2 pièc,Un appartement s 1 el ma,900,19/12/2024,1,75.0
El Aouina,Vente,App. 2 pièc,Réf 79v une coquette appartem,230 000,19/12/2024,1,70.0
Hammamet,Location,App. 3 pièc,Appartement belle de nui,1 250,19/12/2024,2,121.43717728055077
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410 000,19/12/2024,1,70.0
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150 000,19/12/2024,3,99.0
Ain Zaghouan,Location,App. 1 pièc,Un appartement s1 meublé,1 200,19/12/2024,0,1.0
Hammamet,Location,App. 4 pièc,S plus 3 a la cité a,1 000,19/12/2024,3,110.0
El Mourouj,Vente,App. 3 pièc,Apprt mourouj 3,130 000,19/12/2024,2,85.0
Jardins de Cart,Location,App. 3 pièc,Un rez de chaussée de vi,2 400,19/12/2024,2,1.0
Chatt Meriem,Location,App. 1 pièc,annuelle un appartemen,1 300,19/12/2024,0,1.0
Sousse,Location,App. 2 pièc,S2 kantaoui,600,19/12/2024,1,73.062
Jardins d'el Me,Location,App. 4 pièc,Usage bureautique ou hab,1 500,19/12/2024,3,200.0
La Soukra,Location,App. 3 pièc,Un appartement s3à la so,3 000,19/12/2024,2,1.0
Cite Ennasr 2,Location,App. 3 pièc,S2 meublé à  ennasr 2,1 200,19/12/2024,2,121.43717728055077
La Soukra,Vente,App. 3 pièc,Apprt s2 à   laouina,460 000,19/12/2024,2,125.0
El Menzah 9,Location,App. 2 pièc,Appart s1 haut standing,950,19/12/2024,1,70.0
Cite Ennasr 2,Location,App. 2 pièc,Appartement s 1 ht stand,880,19/12/2024,1,70.0
Hammamet,Location,App. 4 pièc,S plus 3 semi meublé,800,19/12/2024,3,70.0
Ain Zaghouan,Vente,App. 3 pièc,S plus deux haut standin,245 000,19/12/2024,2,80.0
Hammam Sousse,Vente,App. 3 pièc,Appartement rdc à hammem,200 000,19/12/2024,2,160.0
Jardins de Cart,Location,App. 2 pièc,Un appartement s2 vide m,1 900,19/12/2024,1,1.0
Hammam Sousse,Location,App. 1 pièc,annuelle un appartemen,800,19/12/2024,0,1.0
El Mourouj,Location,App. 3 pièc,App usage bureautique,850,19/12/2024,2,90.0
Ain Zaghouan,Location,App. 1 pièc,Un appartement s1 à ain,1 000,19/12/2024,0,1.0
Riadh Landlous,Location,App. 3 pièc,S 2 a cote de mahmou,720,19/12/2024,2,110.0
Gammart,Location,App. 4 pièc,Appartement s3 jamais ha,3 200,19/12/2024,3,160.4433656957929
Hammamet,Location,App. 4 pièc,Appartement jacinthe 3 r,1 200,19/12/2024,3,160.4433656957929
Sidi Bousaid,Location,App. 3 pièc,Etage villa meublé de a,3 000,19/12/2024,2,150.0
Jardins d'el Me,Location,App. 4 pièc,Usage bureautique ou hab,1 500,19/12/2024,3,160.4433656957929
El Menzah 9,Location,App. 3 pièc,Un appartement s 2 haut,1 350,19/12/2024,2,110.0
Casino La Goule,Location,App. 2 pièc,Appartement s1 meublé aux la,700,19/12/2024,1,50.0
El Aouina,Location,App. 3 pièc,Appartement s2 vide aux aouin,1 300,19/12/2024,2,90.0
Marsa Safsaf,Location,App. 3 pièc,Etage indépendante meublé aux,3 500,19/12/2024,2,100.0
Erriadh,Location,App. 4 pièc,Cote la gare de le kram appar,1 200,19/12/2024,3,120.0
Sidi Bousaid,Location,App. 4 pièc,Bel etage de villa s3 aux sid,2 000,19/12/2024,3,130.0
Mosque Erraoudh,Location,App. 4 pièc,Suite à la soukra appartement,850,19/12/2024,3,120.0
Hammamet,Location,Maisons,Etage de villa s3 me,1 200,19/12/2024,3,150.0
Hammamet,Location,App. 4 pièc,Appartement epiaire ref,1 200,19/12/2024,3,160.4433656957929
El Manar 2,Location,App. 2 pièc,Rez jardin s2 900dt meub,900,19/12/2024,1,80.0
Ariana,Location,App. 3 pièc,S3 haut standing  borj l,1 000,19/12/2024,2,100.0
Ariana,Location,App. 1 pièc,Appart s0 haut standing,730,19/12/2024,0,40.0
Sousse Corniche,Vente,App. 4 pièc,Appartement pieds dans l,300 000,19/12/2024,3,160.4433656957929
Ain Zaghouan,Location,App. 2 pièc,S plus 1 ain zaghaoun su,850,19/12/2024,1,64.0
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 meublé,1 750,19/12/2024,0,1.0
La Soukra,Vente,App. 3 pièc,Des s2 neufs à la nouvel,330 000,19/12/2024,2,96.0
Hammam Sousse,Location,App. 1 pièc,annuelle un appartemen,800,19/12/2024,0,178.3842105263158
El Mourouj,Location,App. 3 pièc,App usage bureautique,850,19/12/2024,2,121.43717728055077
Gammart,Location,App. 4 pièc,Appartement s3 jamais ha,3 200,19/12/2024,3,170.0
El Menzah 9,Location,App. 4 pièc,Appart s3 haut standing,2 200,19/12/2024,3,160.0
Bizerte,Location,App. 2 pièc,Un appartement meuble ha,900,19/12/2024,1,73.062
Bizerte,Location,App. 2 pièc,Appartement meublée,750,19/12/2024,1,73.062
Cite Ennasr 2,Location,Maisons,Villa s7 avec jardin et,4 500,19/12/2024,7,700.0
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé haut st,1 200,19/12/2024,1,70.0
El Aouina,Vente,App. 4 pièc,S plus 4 cite el wahat p,365 000,19/12/2024,3,186.0
El Aouina,Location,App. 3 pièc,Apprt  s 2 à ariana,1 300,19/12/2024,2,150.0
Bou Mhel,Location,App. 1 pièc,Bureau s0 a boumhel,480,19/12/2024,0,70.0
El Mourouj,Vente,App. 3 pièc,Appartement mourouj 6 s2,230 000,19/12/2024,2,109.0
Jardins de Cart,Location,App. 3 pièc,Apprt s2 meublé à  j,2 200,19/12/2024,2,125.0
Sahloul,Vente,App. 1 pièc,A  un appartement s3 sit,1,19/12/2024,0,178.3842105263158
Cite Ennasr 1,Vente,App. 2 pièc,S1 de haut standing a en,180 000,19/12/2024,1,56.0
El Menzah 9,Location,App. 2 pièc,S1 meublé menzah 9c,1 300,19/12/2024,1,80.0
Cite Ennasr 2,Location,App. 3 pièc,Appartement s2 à ennasr,1 200,19/12/2024,2,125.0
El Aouina,Vente,App. 5 pièc,Appartement s4 a l'aouin,420 000,19/12/2024,4,200.0
Ain Zaghouan,Vente,App. 2 pièc,S plus 1 ain zaghouan su,205 000,19/12/2024,1,64.0
El Omrane,Location,App. 5 pièc,Rdc de villa à omran ric,2 800,19/12/2024,4,225.45569620253164
Bab El Khadra,Location,App. 3 pièc,S2 neuf meublé au centre,1 200,19/12/2024,2,70.0
Cite Ennasr 2,Vente,App. 5 pièc,S4 spacieux et lumineux,700 000,19/12/2024,4,220.0
Ezzahra,Vente,App. 2 pièc,Residence la siesta,485 000,19/12/2024,1,124.0
La Mannouba,Location,App. 1 pièc,Appt s plus 1 résidence,700,19/12/2024,0,65.0
Zone urbaine no,Vente,App. 3 pièc,Appartement moderne  sup,590 000,19/12/2024,2,157.0
Mutuelle Ville,Location,App. 3 pièc,Appartement usage bureau,2 000,19/12/2024,2,130.0
Habib Thameur,Location,App. 3 pièc,Bureau s3 lafayette,800,19/12/2024,2,100.0
Jardins de Cart,Location,App. 2 pièc,Studio meuble jardin de,850,19/12/2024,1,50.0
Sahloul,Vente,App. 1 pièc,A  un appartement  s2 situ  r,1,19/12/2024,0,116.0
El Mourouj,Location,App. 3 pièc,Bel appartement mrj 3,500,19/12/2024,2,121.43717728055077
La Soukra,Location,App. 1 pièc,S1 meublé charges compri,600,19/12/2024,0,70.0
La Soukra,Location,App. 3 pièc,S2 meublé a soukra par s,600,19/12/2024,2,150.0
La Soukra,Location,App. 1 pièc,S1 meublé a soukra charg,600,19/12/2024,0,70.0
Sahloul,Vente,App. 1 pièc,A  un appartement  s2 situ  r,1,19/12/2024,0,178.3842105263158
Cite Ennasr 2,Location,App. 4 pièc,Un appartement s 3 cité,1 200,19/12/2024,3,120.0
Sfax,Location,App. 3 pièc,Appartement meublé tout,800,19/12/2024,2,125.0
Cite Ennasr 1,Location,App. 3 pièc,S2 à ennasr 2 900 d,900,19/12/2024,2,120.0
Jardins d'el Me,Location,App. 2 pièc,S1 1000 d meuble aux jar,1 000,19/12/2024,1,60.0
Khaznadar,Vente,App. 3 pièc,App en rdc khaznadar,160 000,19/12/2024,2,80.0
Habib Thameur,Vente,App. 4 pièc,App rue de marseille,160 000,19/12/2024,3,100.0
El Menzah 1,Vente,App. 1 pièc,Studio s0 a el manza,125 000,19/12/2024,0,28.0
El Aouina,Vente,App. 4 pièc,S3 400 md aouina,400 000,19/12/2024,3,157.0
Cite Ennasr 2,Vente,App. 4 pièc,S3 haut standing a ennas,410 000,19/12/2024,3,132.0
